Type of Food,Number of Guests,Event Type,Quantity of Food,Storage Conditions,Purchase History,Seasonality,Preparation Method,Geographical Location,Pricing,Wastage Food Amount
Meat,310,Corporate,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Low,25
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Buffet,Suburban,High,40
Vegetables,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27
Meat,491,Birthday,497,Refrigerated,Regular,All Seasons,Finger Food,Rural,High,32
Meat,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Urban,Moderate,25
Meat,302,Birthday,371,Refrigerated,Regular,Summer,Buffet,Suburban,Low,27
Meat,240,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,20
Meat,300,Wedding,400,Refrigerated,Regular,Summer,Finger Food,Rural,Moderate,25
Fruits,320,Corporate,400,Refrigerated,Regular,All Seasons,Buffet,Urban,High,45
Meat,400,Corporate,500,Refrigerated,Occasional,Winter,Finger Food,Urban,High,40
Fruits,320,Wedding,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35
Meat,302,Birthday,371,Room Temperature,Regular,Winter,Buffet,Suburban,Low,27
Meat,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,Low,25
Meat,250,Social Gathering,350,Room Temperature,Regular,Winter,Buffet,Urban,Low,10
Fruits,267,Corporate,393,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,Low,24
Meat,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40
Fruits,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Low,20
Fruits,380,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35
Fruits,300,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,25
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Buffet,Suburban,Low,10
Meat,220,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,30
Vegetables,220,Corporate,300,Refrigerated,Regular,Winter,Finger Food,Suburban,Low,15
Meat,350,Corporate,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,35
Fruits,400,Wedding,500,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40
Meat,320,Wedding,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25
Fruits,400,Wedding,500,Refrigerated,Regular,All Seasons,Finger Food,Urban,High,40
Baked Goods,320,Corporate,400,Room Temperature,Regular,Summer,Buffet,Rural,High,35
Meat,400,Birthday,500,Room Temperature,Regular,Winter,Finger Food,Suburban,High,40
Meat,208,Wedding,282,Refrigerated,Regular,Summer,Sit-down Dinner,Rural,Moderate,22
Meat,280,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,20
Meat,380,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,25
Meat,438,Corporate,493,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,35
Fruits,350,Corporate,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20
Meat,220,Corporate,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,15
Fruits,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15
Vegetables,280,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,20
Meat,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15
Fruits,491,Wedding,497,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,32
Fruits,400,Birthday,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,50
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20
Meat,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,439,Corporate,459,Room Temperature,Regular,Summer,Buffet,Suburban,Low,39
Fruits,240,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20
Baked Goods,300,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Low,20
Fruits,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20
Fruits,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40
Meat,400,Social Gathering,450,Refrigerated,Regular,All Seasons,Buffet,Urban,Moderate,30
Fruits,434,Birthday,495,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Low,36
Fruits,300,Corporate,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,15
Fruits,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Urban,Low,27
Dairy Products,300,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Urban,Low,20
Meat,320,Social Gathering,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40
Baked Goods,320,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Urban,Moderate,20
Meat,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,45
Vegetables,280,Birthday,350,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,20
Baked Goods,380,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35
Meat,380,Birthday,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30
Meat,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50
Meat,320,Birthday,400,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,30
Vegetables,280,Wedding,350,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15
Vegetables,320,Birthday,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40
Fruits,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10
Vegetables,350,Corporate,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35
Meat,250,Wedding,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40
Vegetables,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Urban,Moderate,20
Baked Goods,450,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,10
Fruits,230,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,30
Baked Goods,320,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Baked Goods,442,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35
Vegetables,310,Social Gathering,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,35
Fruits,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30
Dairy Products,350,Corporate,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,30
Meat,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50
Fruits,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35
Vegetables,350,Wedding,450,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,35
Meat,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20
Meat,350,Social Gathering,450,Refrigerated,Occasional,All Seasons,Finger Food,Rural,High,40
Baked Goods,302,Social Gathering,371,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27
Fruits,438,Corporate,493,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,35
Baked Goods,310,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,40
Fruits,300,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15
Baked Goods,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20
Dairy Products,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25
Vegetables,250,Corporate,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20
Fruits,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40
Fruits,350,Corporate,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,25
Baked Goods,380,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,250,Corporate,480,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Suburban,High,30
Fruits,250,Wedding,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,20
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40
Baked Goods,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25
Meat,300,Social Gathering,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40
Fruits,350,Social Gathering,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45
Dairy Products,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20
Fruits,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35
Dairy Products,240,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20
Baked Goods,397,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31
Baked Goods,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25
